center_id,sync_timestamp,report_date,session_date,camera,source_video,session_duration,unique_people,returning_count,visitor_count,person_id,person_type,entry_time,exit_time,duration_seconds,present_last_7_days,last_present_date,report_file,identified_students,engagement_id,batch,confidence_score,nf_presence,dedupe_collapsed_rows,distinct_source_videos,source_videos_sample
TSSDC_Mumbai,2026-03-25 15:53:56.936000 UTC,2026-03-25,2026-03-25,Cam_01,D14_20260324102110.mp4,11:19:49,59,0,59,Day0325_NF_033,no_face_track,10:40:42,10:40:45,3,0,,2026_03_25_attendance_report.json,0,,,0.0,198,49,49,D14_20260324090240.mp4; D14_20260324090338.mp4; D14_20260324090815.mp4; D14_20260324090949.mp4; D14_20260324091315.mp4; ...
TSSDC_Mumbai,2026-03-25 15:53:56.936000 UTC,2026-03-25,2026-03-25,Cam_01,D14_20260324102110.mp4,11:19:49,59,0,59,Day0325_NF_034,no_face_track,10:40:49,10:40:55,6,0,,2026_03_25_attendance_report.json,0,,,0.0,198,49,49,D14_20260324090240.mp4; D14_20260324090338.mp4; D14_20260324090815.mp4; D14_20260324090949.mp4; D14_20260324091315.mp4; ...
Mumbai_Center,2026-03-25 15:57:00.568000 UTC,2026-03-25,2026-03-25,Cam_01,D14_20260311094703.mp4,09:52:00,13,0,13,Day0325_NF_035,no_face_track,09:47:24,09:47:24,0,0,,2026_03_25_attendance_report.json,0,,,0.0,50,1,1,D14_20260311094703.mp4
TSSDC_Mumbai,2026-03-25 15:53:56.936000 UTC,2026-03-25,2026-03-25,Cam_01,D14_20260324102110.mp4,11:19:49,59,0,59,Day0325_NF_035,no_face_track,10:40:54,10:40:55,1,0,,2026_03_25_attendance_report.json,0,,,0.0,198,49,49,D14_20260324090240.mp4; D14_20260324090338.mp4; D14_20260324090815.mp4; D14_20260324090949.mp4; D14_20260324091315.mp4; ...
Mumbai_Center,2026-03-25 15:57:00.568000 UTC,2026-03-25,2026-03-25,Cam_01,D14_20260311094703.mp4,09:52:00,13,0,13,Day0325_NF_036,no_face_track,09:47:56,09:48:02,6,0,,2026_03_25_attendance_report.json,0,,,0.0,50,1,1,D14_20260311094703.mp4
TSSDC_Mumbai,2026-03-25 15:53:56.936000 UTC,2026-03-25,2026-03-25,Cam_01,D14_20260324102110.mp4,11:19:49,59,0,59,Day0325_NF_036,no_face_track,10:40:57,10:40:57,0,0,,2026_03_25_attendance_report.json,0,,,0.0,198,49,49,D14_20260324090240.mp4; D14_20260324090338.mp4; D14_20260324090815.mp4; D14_20260324090949.mp4; D14_20260324091315.mp4; ...
Mumbai_Center,2026-03-25 15:57:00.568000 UTC,2026-03-25,2026-03-25,Cam_01,D14_20260311094703.mp4,09:52:00,13,0,13,Day0325_NF_037,no_face_track,09:48:01,09:48:06,5,0,,2026_03_25_attendance_report.json,0,,,0.0,50,1,1,D14_20260311094703.mp4
Mumbai_Center,2026-03-25 15:57:00.568000 UTC,2026-03-25,2026-03-25,Cam_01,D14_20260311094703.mp4,09:52:00,13,0,13,Day0325_NF_038,no_face_track,09:48:13,09:48:19,6,0,,2026_03_25_attendance_report.json,0,,,0.0,50,1,1,D14_20260311094703.mp4
TSSDC_Mumbai,2026-03-25 15:53:56.936000 UTC,2026-03-25,2026-03-25,Cam_01,D14_20260324102110.mp4,11:19:49,59,0,59,Day0325_NF_038,no_face_track,10:41:19,10:41:19,0,0,,2026_03_25_attendance_report.json,0,,,0.0,198,49,49,D14_20260324090240.mp4; D14_20260324090338.mp4; D14_20260324090815.mp4; D14_20260324090949.mp4; D14_20260324091315.mp4; ...
Mumbai_Center,2026-03-25 15:57:00.568000 UTC,2026-03-25,2026-03-25,Cam_01,D14_20260311094703.mp4,09:52:00,13,0,13,Day0325_NF_039,no_face_track,09:48:19,09:48:28,9,0,,2026_03_25_attendance_report.json,0,,,0.0,50,1,1,D14_20260311094703.mp4
TSSDC_Mumbai,2026-03-25 15:53:56.936000 UTC,2026-03-25,2026-03-25,Cam_01,D14_20260324102110.mp4,11:19:49,59,0,59,Day0325_NF_039,no_face_track,10:41:19,10:41:24,5,0,,2026_03_25_attendance_report.json,0,,,0.0,198,49,49,D14_20260324090240.mp4; D14_20260324090338.mp4; D14_20260324090815.mp4; D14_20260324090949.mp4; D14_20260324091315.mp4; ...
Mumbai_Center,2026-03-25 15:57:00.568000 UTC,2026-03-25,2026-03-25,Cam_01,D14_20260311094703.mp4,09:52:00,13,0,13,Day0325_NF_040,no_face_track,09:48:20,09:48:20,0,0,,2026_03_25_attendance_report.json,0,,,0.0,50,1,1,D14_20260311094703.mp4
TSSDC_Mumbai,2026-03-25 15:53:56.936000 UTC,2026-03-25,2026-03-25,Cam_01,D14_20260324102110.mp4,11:19:49,59,0,59,Day0325_NF_040,no_face_track,10:41:24,10:41:25,1,0,,2026_03_25_attendance_report.json,0,,,0.0,198,49,49,D14_20260324090240.mp4; D14_20260324090338.mp4; D14_20260324090815.mp4; D14_20260324090949.mp4; D14_20260324091315.mp4; ...
Mumbai_Center,2026-03-25 15:57:00.568000 UTC,2026-03-25,2026-03-25,Cam_01,D14_20260311094703.mp4,09:52:00,13,0,13,Day0325_NF_041,no_face_track,09:48:20,09:48:20,0,0,,2026_03_25_attendance_report.json,0,,,0.0,50,1,1,D14_20260311094703.mp4
TSSDC_Mumbai,2026-03-25 15:53:56.936000 UTC,2026-03-25,2026-03-25,Cam_01,D14_20260324102110.mp4,11:19:49,59,0,59,Day0325_NF_041,no_face_track,10:41:25,10:41:25,0,0,,2026_03_25_attendance_report.json,0,,,0.0,198,49,49,D14_20260324090240.mp4; D14_20260324090338.mp4; D14_20260324090815.mp4; D14_20260324090949.mp4; D14_20260324091315.mp4; ...
Mumbai_Center,2026-03-25 15:57:00.568000 UTC,2026-03-25,2026-03-25,Cam_01,D14_20260311094703.mp4,09:52:00,13,0,13,Day0325_NF_042,no_face_track,09:48:28,09:48:31,3,0,,2026_03_25_attendance_report.json,0,,,0.0,50,1,1,D14_20260311094703.mp4
TSSDC_Mumbai,2026-03-25 15:53:56.936000 UTC,2026-03-25,2026-03-25,Cam_01,D14_20260324102110.mp4,11:19:49,59,0,59,Day0325_NF_042,no_face_track,10:41:29,10:41:39,10,0,,2026_03_25_attendance_report.json,0,,,0.0,198,49,49,D14_20260324090240.mp4; D14_20260324090338.mp4; D14_20260324090815.mp4; D14_20260324090949.mp4; D14_20260324091315.mp4; ...
Mumbai_Center,2026-03-25 15:57:00.568000 UTC,2026-03-25,2026-03-25,Cam_01,D14_20260311094703.mp4,09:52:00,13,0,13,Day0325_NF_043,no_face_track,09:48:36,09:48:37,1,0,,2026_03_25_attendance_report.json,0,,,0.0,50,1,1,D14_20260311094703.mp4
Mumbai_Center,2026-03-25 15:57:00.568000 UTC,2026-03-25,2026-03-25,Cam_01,D14_20260311094703.mp4,09:52:00,13,0,13,Day0325_NF_044,no_face_track,09:48:37,09:48:38,1,0,,2026_03_25_attendance_report.json,0,,,0.0,50,1,1,D14_20260311094703.mp4
TSSDC_Mumbai,2026-03-25 15:53:56.936000 UTC,2026-03-25,2026-03-25,Cam_01,D14_20260324102110.mp4,11:19:49,59,0,59,Day0325_NF_044,no_face_track,10:42:15,10:42:15,0,0,,2026_03_25_attendance_report.json,0,,,0.0,198,49,49,D14_20260324090240.mp4; D14_20260324090338.mp4; D14_20260324090815.mp4; D14_20260324090949.mp4; D14_20260324091315.mp4; ...
Mumbai_Center,2026-03-25 15:57:00.568000 UTC,2026-03-25,2026-03-25,Cam_01,D14_20260311094703.mp4,09:52:00,13,0,13,Day0325_NF_046,no_face_track,09:48:58,09:49:01,3,0,,2026_03_25_attendance_report.json,0,,,0.0,50,1,1,D14_20260311094703.mp4
TSSDC_Mumbai,2026-03-25 15:53:56.936000 UTC,2026-03-25,2026-03-25,Cam_01,D14_20260324102110.mp4,11:19:49,59,0,59,Day0325_NF_046,no_face_track,10:43:09,10:43:21,12,0,,2026_03_25_attendance_report.json,0,,,0.0,198,49,49,D14_20260324090240.mp4; D14_20260324090338.mp4; D14_20260324090815.mp4; D14_20260324090949.mp4; D14_20260324091315.mp4; ...
Mumbai_Center,2026-03-25 15:57:00.568000 UTC,2026-03-25,2026-03-25,Cam_01,D14_20260311094703.mp4,09:52:00,13,0,13,Day0325_NF_047,no_face_track,09:49:00,09:49:01,1,0,,2026_03_25_attendance_report.json,0,,,0.0,50,1,1,D14_20260311094703.mp4
TSSDC_Mumbai,2026-03-25 15:53:56.936000 UTC,2026-03-25,2026-03-25,Cam_01,D14_20260324102110.mp4,11:19:49,59,0,59,Day0325_NF_047,no_face_track,10:43:15,10:43:17,2,0,,2026_03_25_attendance_report.json,0,,,0.0,198,49,49,D14_20260324090240.mp4; D14_20260324090338.mp4; D14_20260324090815.mp4; D14_20260324090949.mp4; D14_20260324091315.mp4; ...
Mumbai_Center,2026-03-25 15:57:00.568000 UTC,2026-03-25,2026-03-25,Cam_01,D14_20260311094703.mp4,09:52:00,13,0,13,Day0325_NF_048,no_face_track,09:49:01,09:49:02,1,0,,2026_03_25_attendance_report.json,0,,,0.0,50,1,1,D14_20260311094703.mp4
TSSDC_Mumbai,2026-03-25 15:53:56.936000 UTC,2026-03-25,2026-03-25,Cam_01,D14_20260324102110.mp4,11:19:49,59,0,59,Day0325_NF_048,no_face_track,10:43:24,10:43:31,7,0,,2026_03_25_attendance_report.json,0,,,0.0,198,49,49,D14_20260324090240.mp4; D14_20260324090338.mp4; D14_20260324090815.mp4; D14_20260324090949.mp4; D14_20260324091315.mp4; ...
TSSDC_Mumbai,2026-03-25 15:53:56.936000 UTC,2026-03-25,2026-03-25,Cam_01,D14_20260324102110.mp4,11:19:49,59,0,59,Day0325_NF_049,no_face_track,10:43:29,10:43:31,2,0,,2026_03_25_attendance_report.json,0,,,0.0,198,49,49,D14_20260324090240.mp4; D14_20260324090338.mp4; D14_20260324090815.mp4; D14_20260324090949.mp4; D14_20260324091315.mp4; ...
Mumbai_Center,2026-03-25 15:57:00.568000 UTC,2026-03-25,2026-03-25,Cam_01,D14_20260311094703.mp4,09:52:00,13,0,13,Day0325_NF_050,no_face_track,09:49:07,09:49:08,1,0,,2026_03_25_attendance_report.json,0,,,0.0,50,1,1,D14_20260311094703.mp4
TSSDC_Mumbai,2026-03-25 15:53:56.936000 UTC,2026-03-25,2026-03-25,Cam_01,D14_20260324102110.mp4,11:19:49,59,0,59,Day0325_NF_050,no_face_track,10:43:43,10:43:47,4,0,,2026_03_25_attendance_report.json,0,,,0.0,198,49,49,D14_20260324090240.mp4; D14_20260324090338.mp4; D14_20260324090815.mp4; D14_20260324090949.mp4; D14_20260324091315.mp4; ...
